Date;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
01/12/2017;87.23076923076923;7.746153846153846
01/01/2018;88.85384615384615;9.03076923076923
01/02/2018;82.1923076923077;5.053846153846154
01/03/2018;89.06153846153846;9.284615384615385
01/04/2018;91.46923076923076;13.553846153846154
01/05/2018;89.33846153846154;10.284615384615384
01/06/2018;88.44615384615385;9.26153846153846
01/07/2018;86.26153846153846;7.1692307692307695
01/08/2018;90.85384615384615;12.7
01/09/2018;90.20769230769231;11.553846153846154
01/10/2018;88.80538461538461;9.292307692307693
01/11/2018;85.71230769230769;6.753846153846154
01/12/2018;88.86153846153846;8.907692307692308
01/01/2019;87.64615384615385;8.2
01/02/2019;90.08076923076922;11.8
01/03/2019;92.25076923076924;14.038461538461538
01/04/2019;91.92153846153846;14.623076923076923
01/05/2019;91.72384615384615;12.123076923076923
01/06/2019;88.89769230769231;9.076923076923077
01/07/2019;89.30538461538461;9.984615384615385
01/08/2019;92.63230769230769;16.03076923076923
01/09/2019;89.99615384615385;11.423076923076923
01/10/2019;86.09461538461538;6.961538461538462
01/11/2019;88.00153846153846;9.823076923076924
01/02/2020;87.65;8.78046153846154
01/03/2020;90.12307692307692;23.003923076923076
01/06/2020;90.22153846153847;10.489384615384616
01/07/2020;92.41846153846154;14.620076923076924
01/08/2020;89.76;12.555692307692308
01/09/2020;91.49615384615385;12.80823076923077
01/10/2020;89.28615384615385;9.913307692307692
01/11/2020;92.56461538461538;14.534615384615384
01/12/2020;92.23230769230769;14.42469230769231
01/01/2021;91.54230769230769;14.171000000000001
01/02/2021;88.56384615384614;9.289923076923078
01/03/2021;92.68384615384616;14.281923076923077
01/04/2021;93.8076923076923;18.101615384615386
01/05/2021;94.12461538461538;19.954615384615387
01/06/2021;91.03615384615385;11.855538461538462
01/07/2021;92.55307692307693;16.413615384615387
01/08/2021;93.3423076923077;21.530230769230773
01/09/2021;91.39923076923077;13.475615384615384
01/10/2021;88.41461538461537;9.163538461538462
01/11/2021;90.06307692307692;11.138076923076921
01/12/2021;92.60307692307691;17.54169230769231
01/01/2022;91.50083333333333;12.534666666666666
01/02/2022;92.18916666666667;14.701250000000002
01/03/2022;91.97583333333334;14.390166666666666
01/04/2022;91.87416666666667;13.180250000000001
01/05/2022;92.90500000000002;16.624166666666667
01/06/2022;89.37916666666666;11.401333333333334
01/07/2022;85.57461538461538;14.666538461538462
01/08/2022;90.28384615384616;14.697076923076922
01/09/2022;90.33692307692309;16.280615384615384
01/10/2022;90.98230769230769;12.85023076923077
01/11/2022;90.30076923076923;12.18523076923077
01/12/2022;89.76615384615386;12.602461538461538
01/01/2023;91.50384615384615;15.803384615384617
01/02/2023;92.08923076923078;18.285307692307693
01/03/2023;92.60461538461537;15.76453846153846
01/04/2023;92.2176923076923;16.32553846153846
01/05/2023;90.77769230769232;12.143384615384615
01/06/2023;89.4346153846154;10.570384615384615
01/07/2023;91.60692307692308;15.838000000000001
01/08/2023;93.73615384615384;19.94823076923077
01/09/2023;91.50384615384615;14.487000000000002
01/10/2023;90.2623076923077;14.30423076923077
01/11/2023;83.94538461538461;5.892384615384615
01/12/2023;89.67153846153846;11.56523076923077
01/01/2024;88.69692307692307;9.76576923076923
01/02/2024;91.43846153846154;13.993384615384615
01/03/2024;91.42307692307692;14.741692307692308
01/04/2024;92.2023076923077;14.15576923076923
01/05/2024;92.10076923076923;15.681846153846154
01/06/2024;91.58076923076922;15.13846153846154
01/07/2024;93.63846153846154;17.947384615384614
01/08/2024;95.79307692307692;29.798846153846153
01/09/2024;93.63846153846154;19.86353846153846
01/10/2024;90.89384615384614;12.036538461538461
01/11/2024;90.35923076923078;11.174307692307691
