Date;Service;Ligne;Nom de la ligne;Taux de ponctualité;Nombre de voyageurs à l'heure pour un voyageur en retard
2014-06;RER;E;RER E;95,40;20,7
2014-06;Transilien;H;Paris Nord Ouest;93,90;15,4
2014-06;Transilien;J;Paris Saint-Lazare Nord;84,90;5,6
2014-06;Transilien;K;Paris Nord Crépy;79,60;3,9
2014-06;Transilien;L;Paris Saint-Lazare Sud;84,00;5,3
2014-06;Transilien;N;Paris Montparnasse;94,70;17,9
2014-06;Transilien;P;Paris Est;89,40;8,4
2014-06;Transilien;R;Paris Sud Est;86,10;6,2
2014-06;Transilien;U;La Verrière - La Défense;95,50;21,2
2014-07;RER;A;RER A;70,50;2,4
2014-07;RER;B;RER B;86,90;6,6
2014-07;RER;C;RER C;83,90;5,2
2014-07;RER;D;RER D;86,60;6,5
2014-07;RER;E;RER E;92,50;12,3
2014-07;Transilien;H;Paris Nord Ouest;93,10;13,5
2014-07;Transilien;J;Paris Saint-Lazare Nord;85,90;6,1
2014-07;Transilien;K;Paris Nord Crépy;87,60;7,1
2014-07;Transilien;L;Paris Saint-Lazare Sud;85,50;5,9
2014-07;Transilien;N;Paris Montparnasse;94,20;16,2
2014-07;Transilien;P;Paris Est;88,10;7,4
2014-07;Transilien;R;Paris Sud Est;89,70;8,7
2014-07;Transilien;U;La Verrière - La Défense;93,30;13,9
2014-08;RER;A;RER A;81,20;4,3
2014-08;RER;B;RER B;90,70;9,8
2014-08;RER;C;RER C;93,90;15,4
2014-08;RER;D;RER D;92,00;11,5
2014-08;RER;E;RER E;96,00;24
2014-08;Transilien;H;Paris Nord Ouest;95,50;21,2
2014-08;Transilien;J;Paris Saint-Lazare Nord;87,40;6,9
2014-08;Transilien;K;Paris Nord Crépy;91,30;10,5
2014-08;Transilien;L;Paris Saint-Lazare Sud;92,00;11,5
2014-08;Transilien;N;Paris Montparnasse;94,00;15,7
2014-08;Transilien;P;Paris Est;92,60;12,5
2014-08;Transilien;R;Paris Sud Est;93,20;13,7
2014-08;Transilien;U;La Verrière - La Défense;95,40;20,7
2014-09;RER;A;RER A;70,90;2,4
2014-09;RER;B;RER B;87,40;6,9
2014-09;RER;C;RER C;92,90;13,1
2014-09;RER;D;RER D;87,00;6,7
2014-09;RER;E;RER E;96,00;24
2014-09;Transilien;H;Paris Nord Ouest;96,30;26
2014-09;Transilien;J;Paris Saint-Lazare Nord;84,60;5,5
2014-09;Transilien;K;Paris Nord Crépy;92,10;11,7
2014-09;Transilien;L;Paris Saint-Lazare Sud;85,70;6
2014-09;Transilien;N;Paris Montparnasse;91,60;10,9
2014-09;Transilien;P;Paris Est;93,50;14,4
2014-09;Transilien;R;Paris Sud Est;88,90;8
2014-09;Transilien;U;La Verrière - La Défense;95,90;23,4
2014-10;RER;A;RER A;68,80;2,2
2014-10;RER;B;RER B;85,50;5,9
2014-10;RER;C;RER C;84,10;5,3
2014-10;RER;D;RER D;81,40;4,4
2014-10;RER;E;RER E;94,00;15,7
2014-10;Transilien;H;Paris Nord Ouest;93,70;14,9
2014-10;Transilien;J;Paris Saint-Lazare Nord;83,40;5
2014-10;Transilien;K;Paris Nord Crépy;86,50;6,4
2014-10;Transilien;L;Paris Saint-Lazare Sud;82,40;4,7
2014-10;Transilien;N;Paris Montparnasse;91,00;10,1
2014-10;Transilien;P;Paris Est;90,70;9,8
2014-10;Transilien;R;Paris Sud Est;77,90;3,5
2014-10;Transilien;U;La Verrière - La Défense;93,60;14,6
2014-11;RER;A;RER A;69,80;2,3
2014-11;RER;B;RER B;86,10;6,2
2014-11;RER;C;RER C;86,74;6,5
2014-11;RER;D;RER D;84,78;5,6
2014-11;RER;E;RER E;95,67;22,1
2014-11;Transilien;H;Paris Nord Ouest;94,75;18
2014-11;Transilien;J;Paris Saint-Lazare Nord;85,78;6
2014-11;Transilien;K;Paris Nord Crépy;84,57;5,5
2014-11;Transilien;L;Paris Saint-Lazare Sud;81,31;4,4
2014-11;Transilien;N;Paris Montparnasse;91,45;10,7
2014-11;Transilien;P;Paris Est;87,28;6,9
2014-11;Transilien;R;Paris Sud Est;84,88;5,6
2014-11;Transilien;U;La Verrière - La Défense;88,86;8
2014-12;RER;A;RER A;67,30;2,1
2014-12;RER;B;RER B;84,60;5,5
2014-12;RER;C;RER C;89,30;8,3
2014-12;RER;D;RER D;84,20;5,3
2014-12;RER;E;RER E;92,70;12,7
2014-12;Transilien;H;Paris Nord Ouest;94,10;15,9
2014-12;Transilien;J;Paris Saint-Lazare Nord;84,30;5,4
2014-12;Transilien;K;Paris Nord Crépy;83,60;5,1
2014-12;Transilien;L;Paris Saint-Lazare Sud;80,40;4,1
2014-12;Transilien;N;Paris Montparnasse;94,00;15,7
2014-12;Transilien;P;Paris Est;88,70;7,8
2014-12;Transilien;R;Paris Sud Est;87,60;7,1
2014-12;Transilien;U;La Verrière - La Défense;91,80;11,2
2015-01;RER;A;RER A;74,50;2,9
2015-01;RER;B;RER B;88,50;7,7
2015-01;RER;C;RER C;91,40;10,6
2015-01;RER;D;RER D;86,56;6,4
2015-01;RER;E;RER E;94,91;18,6
2015-01;Transilien;H;Paris Nord Ouest;95,57;21,5
2015-01;Transilien;J;Paris Saint-Lazare Nord;87,23;6,8
2015-01;Transilien;K;Paris Nord Crépy;87,18;6,8
2015-01;Transilien;L;Paris Saint-Lazare Sud;82,14;4,6
2015-01;Transilien;N;Paris Montparnasse;93,89;15,4
2015-01;Transilien;P;Paris Est;90,95;10
2015-01;Transilien;R;Paris Sud Est;89,23;8,3
2015-01;Transilien;U;La Verrière - La Défense;94,67;17,8
2015-02;RER;A;RER A;73,10;2,7
2015-02;RER;B;RER B;85,40;5,8
2015-02;RER;C;RER C;91,61;10,9
2015-02;RER;D;RER D;87,64;7,1
2015-02;RER;E;RER E;94,07;15,9
2015-02;Transilien;H;Paris Nord Ouest;94,18;16,2
2015-02;Transilien;J;Paris Saint-Lazare Nord;85,06;5,7
2015-02;Transilien;K;Paris Nord Crépy;85,09;5,7
2015-02;Transilien;L;Paris Saint-Lazare Sud;81,82;4,5
2015-02;Transilien;N;Paris Montparnasse;93,77;15,1
2015-02;Transilien;P;Paris Est;92,77;12,8
2015-02;Transilien;R;Paris Sud Est;91,22;10,4
2015-02;Transilien;U;La Verrière - La Défense;91,45;10,7
2015-03;RER;A;RER A;71,96;2,6
2015-03;RER;B;RER B;89,85;8,9
2015-03;RER;C;RER C;88,92;8
2015-03;RER;D;RER D;86,31;6,3
2015-03;RER;E;RER E;96,33;26,2
2015-03;Transilien;H;Paris Nord Ouest;96,06;24,4
2015-03;Transilien;J;Paris Saint-Lazare Nord;87,50;7
2015-03;Transilien;K;Paris Nord Crépy;88,12;7,4
2015-03;Transilien;L;Paris Saint-Lazare Sud;82,90;4,8
2015-03;Transilien;N;Paris Montparnasse;94,75;18,1
2015-03;Transilien;P;Paris Est;93,25;13,8
2015-03;Transilien;R;Paris Sud Est;90,35;9,4
2015-03;Transilien;U;La Verrière - La Défense;95,92;23,5
2015-04;RER;A;RER A;71,98;2,6
2015-04;RER;B;RER B;86,17;6,2
2015-04;RER;C;RER C;89,28;8,3
2015-04;RER;D;RER D;86,56;6,4
2015-04;RER;E;RER E;90,54;9,6
2015-04;Transilien;H;Paris Nord Ouest;95,08;19,3
2015-04;Transilien;J;Paris Saint-Lazare Nord;90,79;9,9
2015-04;Transilien;K;Paris Nord Crépy;86,19;6,2
2015-04;Transilien;L;Paris Saint-Lazare Sud;81,75;4,5
2015-04;Transilien;N;Paris Montparnasse;93,91;15,4
2015-04;Transilien;P;Paris Est;87,96;7,3
2015-04;Transilien;R;Paris Sud Est;86,12;6,2
2015-04;Transilien;U;La Verrière - La Défense;93,17;13,6
2015-05;RER;A;RER A;71,22;2,5
2015-05;RER;B;RER B;87,00;6,7
2015-05;RER;C;RER C;91,45;10,7
2015-05;RER;D;RER D;86,38;6,3
2015-05;RER;E;RER E;95,99;23,9
2015-05;Transilien;H;Paris Nord Ouest;95,94;23,6
2015-05;Transilien;J;Paris Saint-Lazare Nord;90,93;10
2015-05;Transilien;K;Paris Nord Crépy;91,38;10,6
2015-05;Transilien;L;Paris Saint-Lazare Sud;85,84;6,1
2015-05;Transilien;N;Paris Montparnasse;93,78;15,1
2015-05;Transilien;P;Paris Est;92,70;12,7
2015-05;Transilien;R;Paris Sud Est;85,63;6
2015-05;Transilien;U;La Verrière - La Défense;94,94;18,8
2015-06;RER;A;RER A;71,15;2,5
2015-06;RER;B;RER B;84,97;5,7
2015-06;RER;C;RER C;86,17;6,2
2015-06;RER;D;RER D;82,81;4,8
2015-06;RER;E;RER E;93,06;13,4
2015-06;Transilien;H;Paris Nord Ouest;92,32;12
